#Temperature (K)	Pressure (MPa)	Quality (l+v)	Internal Energy (l+v, kJ/mol)	Enthalpy (l+v, kJ/mol)	Entropy (l+v, J/mol*K)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
216.59	0.51796	0.017962	3.7506	3.7993	24.222	1178.5	0.00084856	3.5030	3.5223	22.943	42.895	85.960	975.85	-0.14430	253.37	0.17716	13.761	0.072670	17.286	18.943	94.138	27.691	39.992	222.78	26.174	10.892	0.011116
218.59	0.56451	0.019444	3.9390	3.9921	25.088	1171.3	0.00085378	3.6738	3.6950	23.729	42.769	86.173	961.38	-0.13711	244.99	0.17466	14.941	0.066932	17.312	18.975	93.629	27.940	40.541	223.01	25.525	10.991	0.011295
220.59	0.61415	0.021017	4.1285	4.1863	25.951	1164.0	0.00085912	3.8450	3.8682	24.509	42.646	86.411	946.94	-0.12949	236.93	0.17216	16.198	0.061737	17.337	19.005	93.129	28.196	41.117	223.20	24.903	11.092	0.011478
222.59	0.66700	0.022685	4.3192	4.3819	26.811	1156.6	0.00086458	4.0165	4.0418	25.283	42.525	86.673	932.52	-0.12142	229.17	0.16968	17.536	0.057024	17.360	19.034	92.637	28.458	41.721	223.35	24.305	11.193	0.011666
224.59	0.72320	0.024453	4.5110	4.5791	27.669	1149.2	0.00087017	4.1884	4.2160	26.053	42.407	86.961	918.10	-0.11285	221.70	0.16721	18.960	0.052742	17.383	19.062	92.153	28.726	42.356	223.47	23.732	11.295	0.011860
226.59	0.78287	0.026324	4.7040	4.7777	28.525	1141.7	0.00087590	4.3607	4.3908	26.818	42.292	87.278	903.68	-0.10377	214.51	0.16475	20.473	0.048844	17.404	19.087	91.676	29.002	43.024	223.54	23.180	11.398	0.012058
228.59	0.84614	0.028303	4.8983	4.9779	29.379	1134.1	0.00088177	4.5335	4.5663	27.578	42.180	87.624	889.26	-0.094132	207.58	0.16230	22.081	0.045288	17.425	19.111	91.205	29.285	43.727	223.58	22.650	11.502	0.012263
230.59	0.91314	0.030394	5.0939	5.1798	30.230	1126.4	0.00088779	4.7068	4.7424	28.334	42.071	88.001	874.81	-0.083902	200.89	0.15985	23.787	0.042040	17.444	19.133	90.741	29.575	44.467	223.57	22.139	11.608	0.012474
232.59	0.98401	0.032604	5.2908	5.3834	31.081	1118.6	0.00089396	4.8806	4.9193	29.085	41.965	88.412	860.34	-0.073039	194.45	0.15742	25.597	0.039068	17.461	19.153	90.282	29.872	45.249	223.52	21.647	11.714	0.012692
234.59	1.0589	0.034937	5.4891	5.5888	31.930	1110.7	0.00090031	5.0551	5.0970	29.834	41.863	88.858	845.84	-0.061496	188.23	0.15499	27.515	0.036343	17.478	19.171	89.828	30.177	46.074	223.43	21.172	11.823	0.012917
236.59	1.1379	0.037399	5.6888	5.7959	32.777	1102.7	0.00090683	5.2302	5.2756	30.578	41.764	89.342	831.29	-0.049221	182.24	0.15258	29.549	0.033842	17.493	19.187	89.379	30.490	46.947	223.29	20.714	11.933	0.013151
238.59	1.2212	0.039996	5.8900	6.0049	33.624	1094.6	0.00091354	5.4060	5.4551	31.320	41.669	89.867	816.70	-0.036158	176.45	0.15017	31.703	0.031543	17.506	19.201	88.933	30.811	47.871	223.11	20.272	12.044	0.013392
240.59	1.3089	0.042734	6.0927	6.2159	34.470	1086.4	0.00092045	5.5826	5.6357	32.058	41.578	90.437	802.03	-0.022242	170.85	0.14777	33.984	0.029426	17.518	19.213	88.491	31.140	48.852	222.89	19.844	12.158	0.013644
242.59	1.4012	0.045620	6.2969	6.4288	35.315	1078.1	0.00092757	5.7601	5.8173	32.795	41.491	91.054	787.30	-0.0074017	165.45	0.14537	36.399	0.027473	17.528	19.222	88.052	31.479	49.895	222.62	19.431	12.274	0.013905
244.59	1.4982	0.048662	6.5028	6.6438	36.161	1069.6	0.00093492	5.9384	6.0000	33.529	41.409	91.723	772.47	0.0084442	160.22	0.14298	38.956	0.025670	17.537	19.229	87.615	31.827	51.006	222.31	19.031	12.392	0.014178
