#Temperature (K)	Pressure (MPa)	Quality (l+v)	Internal Energy (l+v, kJ/mol)	Enthalpy (l+v, kJ/mol)	Entropy (l+v, J/mol*K)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
14.000	0.0075414	0.0026605	-0.10616	-0.10566	-5.9760	76.969	0.012992	-0.10829	-0.10810	-6.1499	10.407	14.174	1268.3	-1.5728	25.447	0.097633	0.13272	7.5345	0.69226	0.80680	59.200	12.589	21.307	307.56	29.101	0.64763	0.010642
15.642	0.017612	0.0055798	-0.079801	-0.078629	-4.1974	75.582	0.013231	-0.084233	-0.083763	-4.5256	10.672	15.279	1233.3	-1.4254	20.992	0.10008	0.28115	3.5568	0.71005	0.83634	54.298	12.706	21.773	322.65	25.084	0.73772	0.012230
17.283	0.035544	0.010277	-0.050097	-0.047732	-2.3934	74.075	0.013500	-0.058159	-0.057192	-2.9407	10.972	16.650	1196.9	-1.2633	17.747	0.10192	0.52321	1.9113	0.72634	0.86329	50.318	12.802	22.391	335.99	22.126	0.82705	0.013911
18.925	0.064376	0.017237	-0.016549	-0.012266	-0.54074	72.428	0.013807	-0.029830	-0.028038	-1.3741	11.218	18.177	1157.4	-1.1008	15.254	0.10314	0.88692	1.1275	0.74065	0.88697	46.975	12.896	23.239	347.63	19.885	0.91654	0.015722
20.567	0.10737	0.026987	0.021248	0.028391	1.3730	70.621	0.014160	0.00096621	0.0040309	0.18853	11.438	19.926	1113.3	-0.93278	13.273	0.10375	1.4037	0.71240	0.75250	0.90669	44.078	13.017	24.430	357.52	18.078	1.0074	0.017700
22.208	0.16790	0.040142	0.063701	0.074872	3.3574	68.629	0.014571	0.034524	0.039455	1.7627	11.648	22.000	1063.6	-0.75254	11.654	0.10374	2.1108	0.47374	0.76138	0.92172	41.490	13.187	26.110	365.62	16.539	1.1012	0.019894
23.850	0.24945	0.057487	0.11123	0.12783	5.4210	66.414	0.015057	0.071254	0.078825	3.3663	11.854	24.566	1007.7	-0.55107	10.295	0.10309	3.0559	0.32724	0.76671	0.93126	39.108	13.418	28.507	371.90	15.178	1.2003	0.022370
25.492	0.35557	0.080122	0.16431	0.18796	7.5717	63.921	0.015644	0.11175	0.12296	5.0219	12.061	27.922	944.42	-0.31455	9.1222	0.10192	4.3048	0.23230	0.76769	0.93421	36.846	13.722	32.034	376.33	13.942	1.3081	0.025231
27.133	0.48994	0.10977	0.22349	0.25608	9.8203	61.055	0.016379	0.15695	0.17312	6.7628	12.279	32.695	872.11	-0.019376	8.0755	0.10004	5.9583	0.16783	0.76313	0.92890	34.617	14.113	37.568	378.92	12.782	1.4302	0.028677
28.775	0.65648	0.14950	0.28959	0.33326	12.184	57.645	0.017347	0.20850	0.23146	8.6463	12.540	40.454	787.58	0.37996	7.0994	0.097337	8.1923	0.12207	0.75087	0.91241	32.311	14.619	47.331	379.68	11.637	1.5769	0.033149
30.417	0.85963	0.20617	0.36408	0.42127	14.700	53.312	0.018758	0.27001	0.30251	10.796	12.928	56.590	684.60	0.98925	6.1244	0.093590	11.383	0.087854	0.72627	0.87851	29.733	15.305	68.997	378.63	10.389	1.7713	0.039884
32.058	1.1052	0.30378	0.45089	0.52442	17.478	46.769	0.021382	0.35344	0.40107	13.630	13.781	121.06	546.94	2.1641	4.9887	0.089656	16.768	0.059638	0.67425	0.80712	26.296	16.340	158.12	375.63	8.6943	2.0948	0.054443
33.700	1.3987	undefined	0.53679	0.62985	20.103	30.300	0.033003	0.53679	0.62985	20.103	16.553	680.10	395.17	5.1870	3.1073	0.093683	30.300	0.033003	0.53679	0.62985	20.103	16.553	680.10	395.17	5.1870	3.1073	0.093683
35.342	1.7035	undefined	0.56314	0.67647	20.866	30.300	0.033003	0.56314	0.67647	20.866	15.615	188.42	434.26	4.5632	3.2196	0.075759	30.300	0.033003	0.56314	0.67647	20.866	15.615	188.42	434.26	4.5632	3.2196	0.075759
36.983	2.0109	undefined	0.58822	0.72201	21.560	30.300	0.033003	0.58822	0.72201	21.560	14.975	116.35	468.85	4.0645	3.3251	0.071526	30.300	0.033003	0.58822	0.72201	21.560	14.975	116.35	468.85	4.0645	3.3251	0.071526
38.625	2.3203	undefined	0.61242	0.76679	22.200	30.300	0.033003	0.61242	0.76679	22.200	14.532	87.406	499.85	3.6519	3.4249	0.069939	30.300	0.033003	0.61242	0.76679	22.200	14.532	87.406	499.85	3.6519	3.4249	0.069939
