#Temperature (K)	Pressure (MPa)	Quality (l+v)	Internal Energy (l+v, kJ/mol)	Enthalpy (l+v, kJ/mol)	Entropy (l+v, J/mol*K)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
200.00	0.0086098	0.00024175	0.33681	0.33741	1.7050	728.67	0.0013724	0.33112	0.33132	1.6746	50.569	73.533	1983.1	-0.21747	516.02	0.61035	0.088673	11.277	23.845	25.498	127.51	26.007	34.717	359.00	161.94	6.9532	0.016028
202.00	0.010008	0.00027796	0.48479	0.48549	2.4412	726.37	0.0013767	0.47828	0.47852	2.4067	50.578	73.639	1970.6	-0.21643	494.20	0.60988	0.10211	9.7930	23.891	25.560	126.57	26.097	34.847	360.63	154.30	7.0052	0.016178
204.00	0.011595	0.00031856	0.63309	0.63389	3.1717	724.06	0.0013811	0.62566	0.62593	3.1327	50.583	73.752	1958.1	-0.21531	473.70	0.60929	0.11722	8.5313	23.937	25.622	125.66	26.192	34.985	362.23	147.10	7.0578	0.016330
206.00	0.013389	0.00036395	0.78171	0.78265	3.8968	721.76	0.0013855	0.77326	0.77358	3.8527	50.584	73.869	1945.7	-0.21414	454.42	0.60857	0.13413	7.4554	23.983	25.683	124.77	26.293	35.131	363.82	140.31	7.1109	0.016484
208.00	0.015412	0.00041455	0.93068	0.93176	4.6164	719.45	0.0013900	0.92111	0.92147	4.5670	50.579	73.990	1933.3	-0.21291	436.27	0.60772	0.15303	6.5348	24.028	25.743	123.90	26.398	35.285	365.38	133.90	7.1644	0.016642
210.00	0.017687	0.00047080	1.0800	1.0813	5.3310	717.13	0.0013944	1.0692	1.0696	5.2755	50.569	74.114	1920.9	-0.21161	419.19	0.60675	0.17408	5.7446	24.073	25.804	123.06	26.509	35.448	366.91	127.85	7.2185	0.016801
212.00	0.020237	0.00053318	1.2297	1.2311	6.0405	714.81	0.0013990	1.2175	1.2180	5.9785	50.554	74.241	1908.5	-0.21027	403.09	0.60566	0.19746	5.0642	24.118	25.863	122.23	26.626	35.620	368.43	122.14	7.2730	0.016963
214.00	0.023089	0.00060216	1.3798	1.3814	6.7452	712.48	0.0014035	1.3661	1.3667	6.6761	50.532	74.370	1896.2	-0.20886	387.91	0.60444	0.22338	4.4766	24.162	25.923	121.42	26.748	35.800	369.92	116.74	7.3279	0.017128
216.00	0.026269	0.00067826	1.5303	1.5322	7.4452	710.15	0.0014082	1.5149	1.5156	7.3684	50.504	74.500	1883.8	-0.20741	373.58	0.60311	0.25203	3.9677	24.206	25.981	120.64	26.875	35.990	371.38	111.63	7.3832	0.017296
218.00	0.029806	0.00076202	1.6813	1.6833	8.1407	707.81	0.0014128	1.6640	1.6648	8.0555	50.470	74.630	1871.5	-0.20591	360.05	0.60166	0.28363	3.5257	24.250	26.040	119.87	27.009	36.190	372.82	106.79	7.4388	0.017466
220.00	0.033731	0.00085398	1.8326	1.8350	8.8318	705.46	0.0014175	1.8134	1.8142	8.7375	50.430	74.761	1859.2	-0.20435	347.27	0.60009	0.31840	3.1407	24.293	26.097	119.12	27.148	36.399	374.24	102.21	7.4949	0.017640
222.00	0.038075	0.00095472	1.9844	1.9870	9.5185	703.10	0.0014223	1.9630	1.9639	9.4145	50.383	74.892	1846.8	-0.20275	335.17	0.59840	0.35658	2.8044	24.336	26.154	118.38	27.294	36.618	375.63	97.875	7.5513	0.017816
224.00	0.042873	0.0010648	2.1366	2.1396	10.201	700.73	0.0014271	2.1129	2.1139	10.087	50.331	75.022	1834.5	-0.20109	323.73	0.59660	0.39840	2.5100	24.378	26.211	117.66	27.445	36.847	376.99	93.764	7.6080	0.017995
226.00	0.048159	0.0011850	2.2893	2.2926	10.880	698.36	0.0014319	2.2630	2.2642	10.754	50.274	75.153	1822.1	-0.19938	312.90	0.59468	0.44412	2.2516	24.420	26.267	116.96	27.602	37.086	378.32	89.865	7.6650	0.018177
228.00	0.053971	0.0013158	2.4424	2.4462	11.554	695.97	0.0014368	2.4134	2.4147	11.416	50.211	75.283	1809.7	-0.19763	302.63	0.59266	0.49401	2.0243	24.462	26.322	116.27	27.766	37.335	379.63	86.166	7.7223	0.018362
230.00	0.060347	0.0014578	2.5960	2.6002	12.225	693.58	0.0014418	2.5640	2.5655	12.074	50.144	75.412	1797.3	-0.19582	292.89	0.59053	0.54834	1.8237	24.503	26.377	115.60	27.935	37.595	380.91	82.655	7.7799	0.018551
