#Temperature (K)	Pressure (MPa)	Quality (l+v)	Internal Energy (l+v, kJ/mol)	Enthalpy (l+v, kJ/mol)	Entropy (l+v, J/mol*K)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
200.00	0.020192	0.0015591	1.4619	1.4659	13.060	615.42	0.0016249	1.4331	1.4345	12.904	60.966	93.780	1365.5	-0.49632	286.82	0.14787	0.54171	1.8460	19.903	21.546	113.46	47.975	56.737	208.73	55.461	5.4597	0.0089710
202.00	0.022791	0.0017410	1.6528	1.6573	14.011	613.26	0.0016306	1.6208	1.6225	13.838	61.111	94.064	1352.2	-0.49192	279.27	0.14665	0.60604	1.6500	19.994	21.652	112.99	48.312	57.118	209.50	54.006	5.5132	0.0091300
204.00	0.025655	0.0019391	1.8446	1.8497	14.955	611.10	0.0016364	1.8092	1.8110	14.766	61.261	94.354	1338.9	-0.48740	272.02	0.14542	0.67630	1.4786	20.085	21.758	112.55	48.653	57.505	210.26	52.598	5.5667	0.0092902
206.00	0.028803	0.0021545	2.0372	2.0430	15.895	608.92	0.0016422	1.9981	2.0002	15.687	61.416	94.652	1325.7	-0.48276	265.06	0.14420	0.75286	1.3283	20.177	21.864	112.11	48.998	57.900	210.99	51.234	5.6201	0.0094514
208.00	0.032255	0.0023881	2.2308	2.2372	16.830	606.74	0.0016482	2.1876	2.1899	16.603	61.576	94.957	1312.4	-0.47800	258.36	0.14298	0.83609	1.1960	20.269	21.970	111.70	49.348	58.302	211.71	49.915	5.6734	0.0096137
210.00	0.036032	0.0026409	2.4252	2.4323	17.760	604.55	0.0016541	2.3777	2.3803	17.512	61.741	95.269	1299.2	-0.47310	251.92	0.14176	0.92641	1.0794	20.361	22.076	111.30	49.702	58.713	212.40	48.640	5.7267	0.0097771
212.00	0.040156	0.0029140	2.6205	2.6285	18.686	602.35	0.0016602	2.5684	2.5714	18.416	61.912	95.589	1285.9	-0.46808	245.71	0.14055	1.0242	0.97636	20.454	22.182	110.92	50.060	59.130	213.08	47.407	5.7798	0.0099416
214.00	0.044649	0.0032085	2.8169	2.8257	19.608	600.14	0.0016663	2.7598	2.7631	19.315	62.087	95.917	1272.7	-0.46292	239.72	0.13934	1.1299	0.88501	20.546	22.289	110.56	50.422	59.556	213.74	46.217	5.8329	0.010107
216.00	0.049534	0.0035254	3.0142	3.0240	20.525	597.92	0.0016725	2.9518	2.9555	20.208	62.268	96.252	1259.5	-0.45762	233.96	0.13813	1.2440	0.80386	20.639	22.395	110.21	50.789	59.989	214.37	45.067	5.8859	0.010274
218.00	0.054834	0.0038658	3.2125	3.2233	21.439	595.69	0.0016787	3.1445	3.1485	21.096	62.453	96.596	1246.4	-0.45217	228.39	0.13693	1.3669	0.73160	20.732	22.501	109.87	51.160	60.431	214.98	43.957	5.9389	0.010442
220.00	0.060574	0.0042309	3.4118	3.4238	22.349	593.45	0.0016851	3.3378	3.3423	21.979	62.643	96.948	1233.2	-0.44658	223.01	0.13573	1.4990	0.66712	20.825	22.607	109.55	51.535	60.881	215.57	42.886	5.9917	0.010611
