#Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
91.000	0.012164	451.07	0.0022170	-1.1361	-1.1357	-11.208	34.744	54.045	1535.8	-0.48126	191.76	0.21083	0.017002	0.25996	3.8468	6.8382	7.5889	84.667	25.250	33.866	249.51	47.514	3.6080	0.0088333
91.500	0.012962	450.40	0.0022202	-1.1091	-1.1086	-10.911	34.692	54.073	1531.3	-0.48016	188.90	0.21023	0.016903	0.27560	3.6285	6.8501	7.6046	84.315	25.261	33.890	250.14	46.863	3.6247	0.0088904
92.000	0.013801	449.74	0.0022235	-1.0820	-1.0815	-10.617	34.641	54.102	1526.7	-0.47905	186.13	0.20964	0.016804	0.29197	3.4250	6.8619	7.6202	83.967	25.272	33.916	250.76	46.227	3.6414	0.0089478
92.500	0.014685	449.07	0.0022268	-1.0550	-1.0545	-10.324	34.591	54.131	1522.2	-0.47791	183.44	0.20903	0.016704	0.30910	3.2352	6.8736	7.6358	83.625	25.284	33.942	251.37	45.607	3.6581	0.0090054
93.000	0.015613	448.40	0.0022302	-1.0279	-1.0274	-10.032	34.542	54.162	1517.6	-0.47675	180.84	0.20843	0.016605	0.32702	3.0579	6.8854	7.6513	83.288	25.296	33.969	251.99	45.000	3.6749	0.0090633
93.500	0.016589	447.73	0.0022335	-1.0008	-1.0002	-9.7413	34.493	54.194	1513.0	-0.47557	178.32	0.20782	0.016506	0.34574	2.8923	6.8971	7.6668	82.955	25.308	33.996	252.60	44.409	3.6918	0.0091214
94.000	0.017613	447.05	0.0022369	-0.97375	-0.97311	-9.4523	34.445	54.226	1508.4	-0.47436	175.87	0.20720	0.016406	0.36530	2.7375	6.9088	7.6823	82.627	25.320	34.025	253.20	43.831	3.7087	0.0091797
94.500	0.018688	446.38	0.0022402	-0.94664	-0.94596	-9.1647	34.397	54.260	1503.7	-0.47313	173.49	0.20658	0.016307	0.38572	2.5926	6.9205	7.6977	82.303	25.333	34.054	253.80	43.266	3.7256	0.0092382
95.000	0.019815	445.71	0.0022436	-0.91951	-0.91880	-8.8784	34.350	54.294	1499.1	-0.47188	171.18	0.20596	0.016208	0.40702	2.4569	6.9321	7.7131	81.984	25.345	34.084	254.39	42.714	3.7425	0.0092970
95.500	0.020996	445.03	0.0022470	-0.89237	-0.89161	-8.5934	34.304	54.330	1494.5	-0.47060	168.92	0.20534	0.016109	0.42923	2.3297	6.9437	7.7285	81.669	25.358	34.114	254.98	42.174	3.7595	0.0093561
96.000	0.022233	444.35	0.0022505	-0.86521	-0.86441	-8.3097	34.258	54.366	1489.8	-0.46931	166.73	0.20471	0.016010	0.45238	2.2105	6.9553	7.7438	81.359	25.372	34.145	255.57	41.647	3.7765	0.0094154
96.500	0.023528	443.67	0.0022539	-0.83803	-0.83718	-8.0274	34.213	54.402	1485.1	-0.46799	164.59	0.20407	0.015910	0.47649	2.0987	6.9669	7.7590	81.052	25.385	34.178	256.15	41.132	3.7936	0.0094749
97.000	0.024882	442.99	0.0022574	-0.81084	-0.80994	-7.7463	34.168	54.440	1480.4	-0.46664	162.51	0.20344	0.015811	0.50159	1.9937	6.9784	7.7742	80.750	25.399	34.211	256.73	40.628	3.8107	0.0095347
