#Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
220.00	0.59913	1166.1	0.00085753	3.7943	3.8169	24.279	42.682	86.338	951.21	-0.13180	239.29	0.17290	0.015693	15.817	0.063221	17.329	18.996	93.276	28.120	40.943	223.15	25.084	11.062	0.011424
220.50	0.61180	1164.3	0.00085887	3.8371	3.8602	24.473	42.651	86.399	947.61	-0.12985	237.30	0.17228	0.015576	16.138	0.061965	17.335	19.004	93.151	28.184	41.090	223.19	24.931	11.087	0.011470
221.00	0.62467	1162.5	0.00086023	3.8799	3.9036	24.667	42.621	86.462	944.00	-0.12788	235.33	0.17166	0.015460	16.464	0.060738	17.341	19.011	93.028	28.249	41.238	223.23	24.779	11.112	0.011516
221.50	0.63774	1160.6	0.00086159	3.9228	3.9470	24.861	42.591	86.526	940.39	-0.12589	233.37	0.17103	0.015343	16.795	0.059541	17.347	19.019	92.904	28.314	41.387	223.27	24.628	11.137	0.011563
222.00	0.65102	1158.8	0.00086295	3.9657	3.9904	25.055	42.560	86.592	936.79	-0.12386	231.44	0.17041	0.015227	17.131	0.058372	17.353	19.026	92.782	28.380	41.539	223.31	24.480	11.163	0.011610
222.50	0.66450	1157.0	0.00086433	4.0086	4.0338	25.248	42.530	86.660	933.18	-0.12180	229.52	0.16979	0.015111	17.473	0.057231	17.359	19.033	92.659	28.446	41.692	223.35	24.332	11.188	0.011658
223.00	0.67819	1155.1	0.00086571	4.0515	4.0773	25.441	42.501	86.729	929.58	-0.11971	227.63	0.16918	0.014995	17.820	0.056118	17.365	19.040	92.537	28.512	41.848	223.38	24.186	11.213	0.011705
223.50	0.69210	1153.3	0.00086711	4.0945	4.1209	25.633	42.471	86.800	925.97	-0.11759	225.75	0.16856	0.014879	18.172	0.055030	17.371	19.047	92.416	28.579	42.005	223.41	24.042	11.239	0.011753
224.00	0.70621	1151.4	0.00086851	4.1374	4.1644	25.826	42.442	86.873	922.37	-0.11544	223.89	0.16794	0.014763	18.530	0.053968	17.376	19.054	92.295	28.646	42.165	223.44	23.899	11.264	0.011802
224.50	0.72054	1149.5	0.00086991	4.1804	4.2080	26.018	42.412	86.948	918.76	-0.11326	222.04	0.16732	0.014648	18.893	0.052930	17.382	19.060	92.175	28.714	42.326	223.46	23.758	11.290	0.011851
