#Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
253.00	1.9605	1032.4	0.00096866	6.6994	6.7830	36.598	41.125	95.221	708.69	0.088358	140.02	0.13299	0.0084042	51.448	0.019437	17.551	19.228	85.788	33.426	56.626	220.45	17.466	12.922	0.015475
253.50	1.9910	1030.0	0.00097083	6.7454	6.8304	36.780	41.113	95.470	704.79	0.093912	138.90	0.13240	0.0083012	52.290	0.019124	17.551	19.226	85.679	33.529	57.019	220.31	17.378	12.955	0.015561
254.00	2.0217	1027.7	0.00097303	6.7914	6.8780	36.962	41.101	95.725	700.88	0.099570	137.79	0.13180	0.0081986	53.144	0.018817	17.550	19.224	85.570	33.633	57.419	220.17	17.291	12.989	0.015648
254.50	2.0529	1025.4	0.00097524	6.8375	6.9256	37.144	41.090	95.985	696.96	0.10533	136.69	0.13121	0.0080962	54.010	0.018515	17.549	19.222	85.461	33.738	57.828	220.02	17.204	13.023	0.015737
255.00	2.0843	1023.0	0.00097748	6.8836	6.9733	37.326	41.079	96.251	693.01	0.11121	135.59	0.13062	0.0079940	54.889	0.018219	17.549	19.220	85.352	33.844	58.244	219.87	17.117	13.057	0.015827
255.50	2.1162	1020.7	0.00097973	6.9299	7.0211	37.508	41.070	96.522	689.05	0.11720	134.51	0.13003	0.0078921	55.780	0.017927	17.548	19.217	85.243	33.951	58.669	219.72	17.031	13.092	0.015918
256.00	2.1483	1018.3	0.00098201	6.9763	7.0691	37.690	41.061	96.800	685.08	0.12330	133.43	0.12944	0.0077905	56.685	0.017641	17.547	19.215	85.134	34.058	59.103	219.56	16.946	13.126	0.016011
256.50	2.1809	1015.9	0.00098431	7.0227	7.1172	37.872	41.054	97.084	681.08	0.12952	132.36	0.12885	0.0076891	57.603	0.017360	17.545	19.212	85.024	34.167	59.545	219.40	16.861	13.161	0.016105
257.00	2.2138	1013.5	0.00098664	7.0692	7.1654	38.055	41.047	97.374	677.07	0.13586	131.29	0.12826	0.0075880	58.534	0.017084	17.544	19.208	84.915	34.277	59.996	219.24	16.776	13.197	0.016200
257.50	2.2470	1011.1	0.00098899	7.1159	7.2137	38.237	41.041	97.670	673.04	0.14232	130.24	0.12767	0.0074872	59.479	0.016813	17.542	19.205	84.805	34.388	60.457	219.07	16.692	13.232	0.016297
