#Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
65.000	0.017404	859.60	0.0011633	-4.1194	-4.1188	69.569	32.591	56.121	976.36	-0.39833	282.07	0.16955	0.011761	0.91308	1.0952	1.3299	1.8639	161.61	21.059	29.788	163.20	38.268	4.5123	0.0058164
65.500	0.018959	857.52	0.0011662	-4.0913	-4.0907	69.999	32.495	56.147	971.27	-0.39665	274.79	0.16854	0.011641	0.98783	1.0123	1.3394	1.8770	161.11	21.074	29.830	163.75	37.651	4.5491	0.0058695
66.000	0.020623	855.44	0.0011690	-4.0633	-4.0626	70.426	32.398	56.174	966.18	-0.39493	267.79	0.16754	0.011522	1.0673	0.93698	1.3488	1.8901	160.62	21.090	29.875	164.30	37.052	4.5861	0.0059228
66.500	0.022401	853.35	0.0011719	-4.0352	-4.0345	70.849	32.303	56.202	961.11	-0.39316	261.05	0.16653	0.011403	1.1516	0.86837	1.3582	1.9031	160.14	21.106	29.921	164.84	36.471	4.6230	0.0059762
67.000	0.024300	851.25	0.0011747	-4.0071	-4.0063	71.270	32.207	56.231	956.04	-0.39135	254.55	0.16553	0.011284	1.2410	0.80580	1.3675	1.9160	159.66	21.123	29.969	165.37	35.907	4.6601	0.0060298
67.500	0.026325	849.14	0.0011777	-3.9790	-3.9781	71.688	32.112	56.262	950.98	-0.38950	248.30	0.16453	0.011165	1.3357	0.74867	1.3768	1.9289	159.20	21.140	30.018	165.89	35.358	4.6971	0.0060835
68.000	0.028481	847.03	0.0011806	-3.9509	-3.9500	72.103	32.018	56.293	945.93	-0.38759	242.27	0.16352	0.011047	1.4359	0.69642	1.3860	1.9416	158.74	21.158	30.070	166.41	34.825	4.7343	0.0061374
68.500	0.030775	844.91	0.0011836	-3.9228	-3.9218	72.515	31.924	56.326	940.87	-0.38564	236.46	0.16252	0.010929	1.5418	0.64858	1.3951	1.9543	158.30	21.177	30.124	166.93	34.307	4.7715	0.0061914
69.000	0.033213	842.79	0.0011865	-3.8946	-3.8935	72.924	31.831	56.360	935.83	-0.38364	230.85	0.16152	0.010811	1.6537	0.60472	1.4042	1.9668	157.86	21.196	30.180	167.43	33.803	4.8088	0.0062457
69.500	0.035801	840.66	0.0011895	-3.8665	-3.8653	73.331	31.738	56.396	930.78	-0.38158	225.44	0.16052	0.010693	1.7716	0.56445	1.4132	1.9793	157.43	21.215	30.239	167.93	33.313	4.8461	0.0063001
