#Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
253.00	100.00	371.48	0.0026920	5.2094	9.5280	31.929	31.351	48.031	1378.6	-0.48512	61.116	0.15582	supercritical
263.00	100.00	364.78	0.0027414	5.6104	10.008	33.791	31.370	48.031	1352.5	-0.47785	58.381	0.15118	supercritical
273.00	100.00	358.21	0.0027916	6.0102	10.489	35.584	31.435	48.061	1327.8	-0.47027	55.916	0.14694	supercritical
283.00	100.00	351.78	0.0028427	6.4092	10.970	37.314	31.544	48.120	1304.4	-0.46247	53.687	0.14308	supercritical
293.00	100.00	345.49	0.0028945	6.8077	11.451	38.987	31.694	48.205	1282.3	-0.45451	51.667	0.13958	supercritical
303.00	100.00	339.33	0.0029470	7.2060	11.934	40.606	31.884	48.318	1261.4	-0.44647	49.834	0.13642	supercritical
313.00	100.00	333.31	0.0030002	7.6045	12.418	42.177	32.111	48.455	1241.7	-0.43841	48.167	0.13359	supercritical
323.00	100.00	327.43	0.0030541	8.0034	12.903	43.704	32.372	48.617	1223.2	-0.43038	46.649	0.13107	supercritical
333.00	100.00	321.69	0.0031086	8.4031	13.390	45.189	32.665	48.801	1205.9	-0.42246	45.266	0.12883	supercritical
343.00	100.00	316.10	0.0031636	8.8038	13.879	46.635	32.988	49.007	1189.6	-0.41468	44.003	0.12686	supercritical
353.00	100.00	310.64	0.0032191	9.2059	14.370	48.047	33.338	49.232	1174.5	-0.40709	42.851	0.12515	supercritical
363.00	100.00	305.33	0.0032752	9.6095	14.864	49.426	33.712	49.477	1160.3	-0.39972	41.797	0.12367	supercritical
373.00	100.00	300.15	0.0033317	10.015	15.360	50.774	34.108	49.738	1147.0	-0.39261	40.834	0.12242	supercritical
383.00	100.00	295.11	0.0033885	10.422	15.859	52.093	34.525	50.016	1134.7	-0.38578	39.953	0.12137	supercritical
393.00	100.00	290.21	0.0034458	10.832	16.360	53.386	34.959	50.309	1123.3	-0.37924	39.148	0.12052	supercritical

