#Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
253.00	100.00	1229.1	0.00081360	4.5017	8.0824	26.899	43.404	73.339	1216.6	-0.27184	282.87	0.20432	liquid
263.00	100.00	1207.6	0.00082806	5.1686	8.8129	29.731	42.905	72.775	1180.7	-0.26740	255.39	0.19608	liquid
273.00	100.00	1186.3	0.00084295	5.8282	9.5380	32.438	42.475	72.268	1146.1	-0.26218	231.94	0.18823	liquid
283.00	100.00	1165.1	0.00085828	6.4811	10.258	35.029	42.107	71.809	1112.7	-0.25623	211.85	0.18074	liquid
293.00	100.00	1144.1	0.00087407	7.1276	10.974	37.515	41.793	71.388	1080.7	-0.24959	194.55	0.17362	liquid
303.00	100.00	1123.2	0.00089031	7.7680	11.686	39.904	41.527	70.997	1050.0	-0.24232	179.60	0.16685	liquid
313.00	100.00	1102.5	0.00090703	8.4025	12.394	42.204	41.303	70.630	1020.7	-0.23449	166.63	0.16044	supercritical
323.00	100.00	1082.0	0.00092423	9.0314	13.099	44.419	41.118	70.278	992.77	-0.22618	155.33	0.15437	supercritical
333.00	100.00	1061.7	0.00094189	9.6547	13.800	46.557	40.968	69.937	966.26	-0.21748	145.44	0.14864	supercritical
343.00	100.00	1041.6	0.00096004	10.273	14.498	48.621	40.848	69.602	941.16	-0.20847	136.75	0.14325	supercritical
353.00	100.00	1021.8	0.00097865	10.885	15.192	50.617	40.756	69.271	917.46	-0.19923	129.09	0.13818	supercritical
363.00	100.00	1002.3	0.00099771	11.492	15.883	52.547	40.689	68.940	895.15	-0.18984	122.30	0.13345	supercritical
373.00	100.00	983.06	0.0010172	12.094	16.571	54.416	40.644	68.609	874.19	-0.18039	116.26	0.12903	supercritical
383.00	100.00	964.16	0.0010372	12.691	17.255	56.227	40.620	68.277	854.56	-0.17093	110.87	0.12491	supercritical
393.00	100.00	945.60	0.0010575	13.282	17.936	57.983	40.613	67.946	836.20	-0.16153	106.04	0.12110	supercritical
