#Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
253.00	100.00	627.42	0.0015938	2.1594	6.6242	121.76	24.701	39.574	879.62	-0.53323	60.218	0.095890	supercritical
263.00	100.00	614.57	0.0016271	2.4600	7.0181	123.28	24.523	39.214	869.89	-0.53486	58.134	0.093234	supercritical
273.00	100.00	602.18	0.0016606	2.7566	7.4085	124.74	24.359	38.869	861.09	-0.53664	56.285	0.090834	supercritical
283.00	100.00	590.23	0.0016942	3.0494	7.7956	126.13	24.209	38.538	853.16	-0.53860	54.640	0.088668	supercritical
293.00	100.00	578.71	0.0017280	3.3387	8.1794	127.47	24.071	38.222	846.03	-0.54075	53.172	0.086715	supercritical
303.00	100.00	567.59	0.0017618	3.6246	8.5601	128.74	23.944	37.920	839.64	-0.54310	51.860	0.084954	supercritical
313.00	100.00	556.87	0.0017957	3.9073	8.9378	129.97	23.827	37.630	833.91	-0.54566	50.685	0.083366	supercritical
323.00	100.00	546.53	0.0018297	4.1870	9.3127	131.15	23.720	37.354	828.80	-0.54843	49.632	0.081937	supercritical
333.00	100.00	536.55	0.0018638	4.4639	9.6849	132.28	23.623	37.091	824.24	-0.55139	48.687	0.080649	supercritical
343.00	100.00	526.92	0.0018978	4.7381	10.055	133.38	23.533	36.840	820.20	-0.55456	47.838	0.079491	supercritical
353.00	100.00	517.63	0.0019319	5.0099	10.422	134.43	23.452	36.601	816.63	-0.55791	47.077	0.078448	supercritical
363.00	100.00	508.66	0.0019660	5.2793	10.787	135.45	23.378	36.373	813.48	-0.56142	46.393	0.077511	supercritical
373.00	100.00	499.99	0.0020000	5.5465	11.149	136.44	23.312	36.158	810.73	-0.56509	45.781	0.076669	supercritical
383.00	100.00	491.62	0.0020341	5.8116	11.510	137.39	23.252	35.953	808.33	-0.56890	45.232	0.075913	supercritical
393.00	100.00	483.53	0.0020681	6.0748	11.868	138.32	23.198	35.760	806.25	-0.57284	44.742	0.075236	supercritical
