#Temperature (K)	Pressure (MPa)	Quality (l+v)	Internal Energy (l+v, kJ/mol)	Enthalpy (l+v, kJ/mol)	Entropy (l+v, J/mol*K)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
100.00	0.77827	0.057963	-1.8588	-1.7895	97.189	689.35	0.0014506	-2.0825	-2.0508	94.576	27.542	64.935	605.23	-0.045743	75.758	0.10011	31.961	0.031288	1.7765	2.4586	139.67	23.946	42.094	183.25	17.523	7.4285	0.010726
110.00	1.4658	0.10932	-1.0775	-0.94692	104.63	621.45	0.0016091	-1.4243	-1.3583	100.89	27.082	76.849	476.44	0.33023	55.993	0.080437	62.579	0.015980	1.7484	2.4045	135.10	26.006	57.758	180.76	14.812	8.6260	0.013834
120.00	2.5106	0.20865	-0.18626	0.037395	112.38	523.36	0.0019107	-0.63498	-0.50060	107.89	28.310	126.27	317.33	1.4037	38.425	0.061006	125.09	0.0079943	1.5156	2.0778	129.38	30.773	129.73	172.61	11.643	10.624	0.021715
130.00	4.0310	undefined	0.66121	1.0203	119.20	314.46	0.0031801	0.66121	1.0203	119.20	33.608	512.50	182.13	5.3823	18.634	0.048075	314.46	0.0031801	0.66121	1.0203	119.20	33.608	512.50	182.13	5.3823	18.634	0.048075
140.00	5.7299	undefined	0.96206	1.4725	121.44	314.46	0.0031801	0.96206	1.4725	121.44	27.831	147.94	226.59	4.1449	19.303	0.039144	314.46	0.0031801	0.96206	1.4725	121.44	27.831	147.94	226.59	4.1449	19.303	0.039144
150.00	7.4456	undefined	1.2288	1.8921	123.28	314.46	0.0031801	1.2288	1.8921	123.28	25.803	96.062	257.99	3.3267	19.948	0.037570	314.46	0.0031801	1.2288	1.8921	123.28	25.803	96.062	257.99	3.3267	19.948	0.037570
160.00	9.1661	undefined	1.4814	2.2979	124.91	314.46	0.0031801	1.4814	2.2979	124.91	24.804	75.705	283.71	2.7302	20.571	0.037352	314.46	0.0031801	1.4814	2.2979	124.91	24.804	75.705	283.71	2.7302	20.571	0.037352
170.00	10.886	undefined	1.7262	2.6960	126.39	314.46	0.0031801	1.7262	2.6960	126.39	24.192	64.865	306.31	2.2742	21.174	0.037602	314.46	0.0031801	1.7262	2.6960	126.39	24.192	64.865	306.31	2.2742	21.174	0.037602
180.00	12.604	undefined	1.9658	3.0886	127.76	314.46	0.0031801	1.9658	3.0886	127.76	23.767	58.126	326.81	1.9133	21.760	0.038060	314.46	0.0031801	1.9658	3.0886	127.76	23.767	58.126	326.81	1.9133	21.760	0.038060
190.00	14.317	undefined	2.2019	3.4773	129.04	314.46	0.0031801	2.2019	3.4773	129.04	23.454	53.528	345.74	1.6201	22.330	0.038623	314.46	0.0031801	2.2019	3.4773	129.04	23.454	53.528	345.74	1.6201	22.330	0.038623
200.00	16.025	undefined	2.4351	3.8627	130.23	314.46	0.0031801	2.4351	3.8627	130.23	23.213	50.190	363.40	1.3768	22.886	0.039243	314.46	0.0031801	2.4351	3.8627	130.23	23.213	50.190	363.40	1.3768	22.886	0.039243
210.00	17.727	undefined	2.6663	4.2455	131.36	314.46	0.0031801	2.6663	4.2455	131.36	23.025	47.657	380.01	1.1717	23.428	0.039893	314.46	0.0031801	2.6663	4.2455	131.36	23.025	47.657	380.01	1.1717	23.428	0.039893
220.00	19.424	undefined	2.8958	4.6262	132.43	314.46	0.0031801	2.8958	4.6262	132.43	22.875	45.670	395.73	0.99617	23.959	0.040558	314.46	0.0031801	2.8958	4.6262	132.43	22.875	45.670	395.73	0.99617	23.959	0.040558
230.00	21.115	undefined	3.1239	5.0049	133.44	314.46	0.0031801	3.1239	5.0049	133.44	22.754	44.070	410.67	0.84437	24.478	0.041224	314.46	0.0031801	3.1239	5.0049	133.44	22.754	44.070	410.67	0.84437	24.478	0.041224
240.00	22.799	undefined	3.3509	5.3820	134.41	314.46	0.0031801	3.3509	5.3820	134.41	22.654	42.755	424.93	0.71177	24.986	0.041876	314.46	0.0031801	3.3509	5.3820	134.41	22.654	42.755	424.93	0.71177	24.986	0.041876
250.00	24.478	undefined	3.5771	5.7577	135.33	314.46	0.0031801	3.5771	5.7577	135.33	22.572	41.656	438.60	0.59497	25.484	0.042465	314.46	0.0031801	3.5771	5.7577	135.33	22.572	41.656	438.60	0.59497	25.484	0.042465
260.00	26.151	undefined	3.8024	6.1321	136.22	314.46	0.0031801	3.8024	6.1321	136.22	22.504	40.723	451.72	0.49131	25.973	0.043100	314.46	0.0031801	3.8024	6.1321	136.22	22.504	40.723	451.72	0.49131	25.973	0.043100
270.00	27.818	undefined	4.0272	6.5054	137.07	314.46	0.0031801	4.0272	6.5054	137.07	22.446	39.922	464.37	0.39873	26.453	0.043874	314.46	0.0031801	4.0272	6.5054	137.07	22.446	39.922	464.37	0.39873	26.453	0.043874
280.00	29.480	undefined	4.2514	6.8776	137.88	314.46	0.0031801	4.2514	6.8776	137.88	22.398	39.227	476.57	0.31554	26.925	0.044640	314.46	0.0031801	4.2514	6.8776	137.88	22.398	39.227	476.57	0.31554	26.925	0.044640
290.00	31.136	undefined	4.4751	7.2489	138.67	314.46	0.0031801	4.4751	7.2489	138.67	22.357	38.619	488.38	0.24042	27.388	0.045398	314.46	0.0031801	4.4751	7.2489	138.67	22.357	38.619	488.38	0.24042	27.388	0.045398
300.00	32.786	undefined	4.6985	7.6193	139.42	314.46	0.0031801	4.6985	7.6193	139.42	22.322	38.083	499.81	0.17226	27.845	0.046149	314.46	0.0031801	4.6985	7.6193	139.42	22.322	38.083	499.81	0.17226	27.845	0.046149
310.00	34.432	undefined	4.9216	7.9890	140.16	314.46	0.0031801	4.9216	7.9890	140.16	22.294	37.608	510.91	0.11015	28.294	0.046892	314.46	0.0031801	4.9216	7.9890	140.16	22.294	37.608	510.91	0.11015	28.294	0.046892
320.00	36.072	undefined	5.1444	8.3579	140.86	314.46	0.0031801	5.1444	8.3579	140.86	22.271	37.183	521.69	0.053335	28.736	0.047627	314.46	0.0031801	5.1444	8.3579	140.86	22.271	37.183	521.69	0.053335	28.736	0.047627
330.00	37.707	undefined	5.3670	8.7262	141.55	314.46	0.0031801	5.3670	8.7262	141.55	22.252	36.802	532.17	0.0011870	29.172	0.048355	314.46	0.0031801	5.3670	8.7262	141.55	22.252	36.802	532.17	0.0011870	29.172	0.048355
340.00	39.337	undefined	5.5895	9.0938	142.21	314.46	0.0031801	5.5895	9.0938	142.21	22.237	36.459	542.38	-0.046832	29.602	0.049076	314.46	0.0031801	5.5895	9.0938	142.21	22.237	36.459	542.38	-0.046832	29.602	0.049076
350.00	40.962	undefined	5.8118	9.4609	142.86	314.46	0.0031801	5.8118	9.4609	142.86	22.227	36.150	552.33	-0.091177	30.025	0.049790	314.46	0.0031801	5.8118	9.4609	142.86	22.227	36.150	552.33	-0.091177	30.025	0.049790
360.00	42.583	undefined	6.0340	9.8275	143.48	314.46	0.0031801	6.0340	9.8275	143.48	22.220	35.869	562.03	-0.13224	30.443	0.050497	314.46	0.0031801	6.0340	9.8275	143.48	22.220	35.869	562.03	-0.13224	30.443	0.050497
370.00	44.199	undefined	6.2562	10.194	144.09	314.46	0.0031801	6.2562	10.194	144.09	22.217	35.614	571.51	-0.17034	30.856	0.051197	314.46	0.0031801	6.2562	10.194	144.09	22.217	35.614	571.51	-0.17034	30.856	0.051197
380.00	45.810	undefined	6.4784	10.559	144.68	314.46	0.0031801	6.4784	10.559	144.68	22.218	35.383	580.77	-0.20579	31.263	0.051891	314.46	0.0031801	6.4784	10.559	144.68	22.218	35.383	580.77	-0.20579	31.263	0.051891
390.00	47.417	undefined	6.7006	10.925	145.26	314.46	0.0031801	6.7006	10.925	145.26	22.221	35.172	589.82	-0.23883	31.666	0.052579	314.46	0.0031801	6.7006	10.925	145.26	22.221	35.172	589.82	-0.23883	31.666	0.052579
400.00	49.020	undefined	6.9228	11.290	145.82	314.46	0.0031801	6.9228	11.290	145.82	22.229	34.980	598.67	-0.26967	32.063	0.053260	314.46	0.0031801	6.9228	11.290	145.82	22.229	34.980	598.67	-0.26967	32.063	0.053260
