#Temperature (K)	Pressure (MPa)	Quality (l+v)	Internal Energy (l+v, kJ/mol)	Enthalpy (l+v, kJ/mol)	Entropy (l+v, J/mol*K)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
200.00	6.0958e-06	2.8477e-07	-10.712	-10.712	-40.313	880.28	0.0011360	-10.712	-10.712	-40.313	56.699	70.944	1471.1	-0.39674	4506.2	0.21783	0.00011754	8507.7	28.960	30.622	166.36	36.601	45.479	253.63	2.0726e+05	6.5626	0.0081235
202.00	7.7966e-06	3.6027e-07	-10.570	-10.570	-39.607	878.29	0.0011386	-10.570	-10.570	-39.607	56.755	70.979	1461.5	-0.39621	4203.0	0.21754	0.00014886	6717.6	29.020	30.699	164.69	37.221	46.168	254.63	1.8067e+05	6.6238	0.0082416
204.00	9.9205e-06	4.5347e-07	-10.428	-10.428	-38.907	876.30	0.0011412	-10.428	-10.428	-38.907	56.821	71.024	1452.1	-0.39564	3929.3	0.21725	0.00018758	5331.2	29.080	30.775	163.07	37.880	46.902	255.61	1.5761e+05	6.6851	0.0083604
206.00	1.2560e-05	5.6799e-07	-10.286	-10.286	-38.214	874.31	0.0011438	-10.286	-10.286	-38.214	56.896	71.079	1443.0	-0.39501	3681.5	0.21695	0.00023520	4251.8	29.140	30.851	161.48	38.581	47.683	256.58	1.3759e+05	6.7464	0.0084801
208.00	1.5823e-05	7.0803e-07	-10.144	-10.144	-37.527	872.33	0.0011464	-10.144	-10.144	-37.527	56.980	71.142	1434.0	-0.39433	3456.4	0.21665	0.00029350	3407.2	29.200	30.927	159.93	39.322	48.512	257.54	1.2021e+05	6.8078	0.0086005
210.00	1.9841e-05	8.7851e-07	-10.001	-10.001	-36.846	870.35	0.0011490	-10.001	-10.001	-36.846	57.072	71.215	1425.3	-0.39361	3251.3	0.21633	0.00036456	2743.0	29.259	31.003	158.41	40.104	49.389	258.49	1.0509e+05	6.8693	0.0087218
212.00	2.4765e-05	1.0851e-06	-9.8588	-9.8588	-36.170	868.37	0.0011516	-9.8589	-9.8589	-36.170	57.172	71.296	1416.7	-0.39283	3063.9	0.21602	0.00045080	2218.3	29.319	31.079	156.93	40.928	50.314	259.42	91953.	6.9309	0.0088438
214.00	3.0772e-05	1.3345e-06	-9.7161	-9.7161	-35.500	866.40	0.0011542	-9.7162	-9.7162	-35.501	57.279	71.386	1408.2	-0.39201	2892.0	0.21570	0.00055501	1801.8	29.378	31.154	155.48	41.792	51.287	260.34	80516.	6.9925	0.0089668
216.00	3.8071e-05	1.6343e-06	-9.5732	-9.5732	-34.836	864.43	0.0011568	-9.5733	-9.5733	-34.836	57.393	71.483	1399.8	-0.39114	2734.0	0.21537	0.00068042	1469.7	29.436	31.229	154.06	42.697	52.308	261.26	70558.	7.0542	0.0090906
218.00	4.6904e-05	1.9932e-06	-9.4302	-9.4302	-34.176	862.46	0.0011595	-9.4302	-9.4302	-34.177	57.515	71.587	1391.5	-0.39023	2588.3	0.21504	0.00083074	1203.7	29.495	31.304	152.68	43.641	53.376	262.17	61882.	7.1159	0.0092153
220.00	5.7549e-05	2.4211e-06	-9.2869	-9.2869	-33.522	860.50	0.0011621	-9.2870	-9.2870	-33.522	57.643	71.698	1383.3	-0.38928	2453.7	0.21470	0.0010102	989.89	29.553	31.379	151.32	44.625	54.491	263.07	54318.	7.1777	0.0093409
222.00	7.0330e-05	2.9295e-06	-9.1433	-9.1433	-32.873	858.55	0.0011648	-9.1434	-9.1434	-32.873	57.778	71.816	1375.2	-0.38829	2328.9	0.21436	0.0012237	817.20	29.612	31.453	149.99	45.646	55.653	263.96	47721.	7.2396	0.0094674
