#Temperature (K)	Pressure (MPa)	Quality (l+v)	Internal Energy (l+v, kJ/mol)	Enthalpy (l+v, kJ/mol)	Entropy (l+v, J/mol*K)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
100.00	0.034376	0.0026131	-0.62717	-0.62378	-5.8632	438.89	0.0022785	-0.64728	-0.64602	-6.0856	33.908	54.681	1452.0	-0.45812	150.97	0.19956	0.67457	1.4824	7.0469	7.8644	79.019	25.487	34.425	260.09	37.826	3.9139	0.0098989
110.00	0.088130	0.0060835	-0.051798	-0.043108	-0.38102	424.78	0.0023542	-0.096585	-0.093257	-0.83691	33.115	55.656	1354.7	-0.42328	120.90	0.18602	1.5982	0.62570	7.2654	8.1501	74.103	25.842	35.378	270.01	30.662	4.2647	0.011188
120.00	0.19143	0.012188	0.54958	0.56845	4.8498	409.90	0.0024396	0.46425	0.47174	4.0439	32.400	56.941	1253.5	-0.37589	98.680	0.17195	3.2619	0.30657	7.4652	8.4067	70.168	26.295	36.786	277.76	25.790	4.6250	0.012617
130.00	0.36732	0.021913	1.1826	1.2188	9.9148	394.04	0.0025378	1.0379	1.0529	8.6383	31.757	58.684	1148.1	-0.31006	81.298	0.15769	5.9804	0.16721	7.6403	8.6257	66.891	26.854	38.836	283.13	22.347	4.9972	0.014232
140.00	0.64118	0.036440	1.8527	1.9159	14.879	376.87	0.0026535	1.6284	1.6557	13.020	31.206	61.169	1037.7	-0.21579	67.353	0.14341	10.152	0.098506	7.7837	8.7970	64.029	27.549	41.885	285.93	19.819	5.3904	0.016102
150.00	1.0400	0.057349	2.5655	2.6680	19.795	357.90	0.0027941	2.2418	2.2884	17.264	30.780	64.932	920.85	-0.075032	55.984	0.12918	16.328	0.061246	7.8856	8.9074	61.391	28.439	46.657	285.97	17.870	5.8236	0.018344
160.00	1.5921	0.087107	3.3279	3.4849	24.714	336.31	0.0029734	2.8887	2.9647	21.462	30.541	71.156	795.43	0.14836	46.541	0.11493	25.382	0.039398	7.9306	8.9369	58.789	29.636	54.849	283.01	16.255	6.3362	0.021197
170.00	2.3283	0.13039	4.1502	4.3798	29.697	310.50	0.0032206	3.5895	3.7098	25.755	30.634	83.218	657.52	0.54087	38.432	0.10046	38.974	0.025658	7.8898	8.8482	55.982	31.374	71.527	276.66	14.732	7.0175	0.025314
180.00	3.2852	0.19933	5.0528	5.3768	34.853	276.23	0.0036202	4.3965	4.5873	30.467	31.554	116.99	497.01	1.3866	30.888	0.085482	61.375	0.016293	7.6893	8.5480	52.471	34.338	121.51	266.04	12.892	8.1346	0.033484
190.00	4.5186	0.38752	6.1250	6.5706	40.642	200.78	0.0049806	5.7074	6.0685	38.000	41.746	1508.2	250.31	5.2488	20.291	0.094152	125.18	0.0079887	6.7850	7.3641	44.819	45.796	2259.0	238.55	8.4951	12.237	0.12052
