#Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
275.00	0.00069845	999.89	0.0010001	0.13978	0.13979	0.51000	75.903	75.915	1411.4	-0.23965	1682.1	0.56022	0.075388	0.0055066	181.60	42.830	45.115	164.06	25.580	33.980	410.33	558.89	8.9986	0.016879
280.00	0.00099182	999.86	0.0010001	0.51876	0.51877	1.8757	75.669	75.688	1434.1	-0.23515	1433.7	0.57191	0.074677	0.0076812	130.19	42.954	45.280	161.74	25.657	34.073	413.92	477.26	9.1447	0.017204
285.00	0.0013890	999.47	0.0010005	0.89678	0.89681	3.2139	75.397	75.533	1454.3	-0.23102	1239.3	0.58253	0.073951	0.010571	94.602	43.078	45.445	159.52	25.736	34.170	417.48	408.81	9.2941	0.017535
290.00	0.0019200	998.76	0.0010012	1.2742	1.2742	4.5266	75.095	75.429	1472.1	-0.22720	1084.0	0.59224	0.073210	0.014363	69.625	43.201	45.609	157.41	25.816	34.270	420.99	351.65	9.4466	0.017872
295.00	0.0026212	997.76	0.0010022	1.6511	1.6512	5.8154	74.765	75.361	1487.7	-0.22362	957.83	0.60118	0.072455	0.019281	51.865	43.324	45.773	155.38	25.898	34.374	424.46	304.01	9.6018	0.018214
300.00	0.0035368	996.51	0.0010035	2.0278	2.0279	7.0816	74.412	75.320	1501.4	-0.22024	853.75	0.60944	0.071686	0.025590	39.078	43.446	45.936	153.44	25.982	34.483	427.89	264.35	9.7596	0.018563
305.00	0.0047193	995.03	0.0010050	2.4044	2.4044	8.3264	74.038	75.300	1513.1	-0.21702	766.79	0.61711	0.070903	0.033598	29.764	43.568	46.099	151.59	26.069	34.596	431.28	231.32	9.9196	0.018918
310.00	0.0062311	993.34	0.0010067	2.7808	2.7810	9.5507	73.645	75.294	1523.2	-0.21393	693.32	0.62422	0.070106	0.043663	22.903	43.690	46.261	149.81	26.158	34.716	434.63	203.74	10.082	0.019279
315.00	0.0081451	991.46	0.0010086	3.1573	3.1575	10.756	73.235	75.301	1531.7	-0.21094	630.64	0.63082	0.069295	0.056195	17.795	43.811	46.422	148.10	26.252	34.843	437.93	180.66	10.246	0.019646
320.00	0.010546	989.39	0.0010107	3.5339	3.5340	11.941	72.811	75.317	1538.7	-0.20804	576.71	0.63695	0.068470	0.071662	13.954	43.931	46.582	146.47	26.350	34.980	441.18	161.25	10.411	0.020021
